#{"t_start": 1753290495.435851, "env_id": "intersection-v0"}
r,l,t
0.0,5,285.246151
-0.299923,5,285.412676
9.0,9,285.565557
0.0,6,285.771789
9.0,9,286.101149
9.0,9,286.317574
9.0,9,286.637887
9.0,9,286.921155
9.0,9,287.269225
3.7,9,287.544698
9.0,9,287.827947
9.0,9,288.028708
9.0,9,288.222975
9.0,9,288.563391
9.0,9,288.858519
-0.366834,7,289.027138
4.618836,7,289.221192
9.0,9,289.479723
0.0,6,289.751231
8.229543,12,290.14779
10.0,10,290.318578
9.0,9,290.654934
9.0,9,290.903174
-2.0,4,291.05938
0.0,6,291.246779
0.0,6,291.373393
-1.0,5,291.599336
9.0,9,292.01386
9.0,9,292.232915
-2.0,4,292.346022
-1.0,5,292.50845
